exchange,instrument_token,tradingsymbol
NSE,3493889,TALBROAUTO
NSE,873217,TATAELXSI
NSE,3577345,RAJRAYON-BL
NSE,3576577,RAJRAYON
NSE,1566721,RAMCOCEM-BE
NSE,3279361,TAJGVK-BL
NSE,2100481,TATACOFFEE-BE
NSE,4289025,RANEENGINE-BL
NSE,3641601,TIIL-BL
NSE,3254017,RELINFRA-BL
NSE,141569,RELINFRA
NSE,5363969,RKDL-BL
NSE,4360193,THYROCARE
NSE,4914945,TI-BL
NSE,4863489,TWILITAKA
NSE,4262657,UBHOLDINGS
NSE,1632513,NATIONALUM-BE
NSE,4287745,RBL-BE
NSE,3857409,RELIGARE
NSE,7577089,REPCOHOME
NSE,3416065,VAKRANGEE-BL
NSE,3470849,VALECHAENG-BL
NSE,3945473,NESCO-BL
NSE,3065857,RML-BE
NSE,4891393,ROLLT-BL
NSE,4281601,RPGLIFE
NSE,2316801,UFO-BL
NSE,1866753,RSWM-BE
NSE,2591489,RUBYMILLS-BE
NSE,753153,RUCHISOYA
NSE,4877569,SANCO-BE
NSE,3393281,SAKUMA-BE
NSE,4442625,SALONA-BL
NSE,2918145,SALZERELEC
NSE,4877313,SANCO-BL
NSE,3435009,RSYSTEMS-BE
NSE,758529,SAIL
NSE,1003777,SAITELE
NSE,4795905,SAKAR-SM
NSE,2382593,SANGAMIND-BE
NSE,3332097,SANGHIIND-BL
NSE,4975361,SAKTHIFIN-BL
NSE,5298689,SCHAND
NSE,3598849,SANGHVIMOV
NSE,2696705,SHARDAMOTR-BE
NSE,1432065,SHREEKRPET-BE
NSE,2675201,SATIN-BL
NSE,6547969,SHAKTIPUMP-BE
NSE,3335937,SUPERFORGE-BL
NSE,2209537,SIDDHATUBE-BE
NSE,3609601,SIYSIL-BE
NSE,3641089,TIIL
NSE,891905,TIL
NSE,3349505,TRIVENI-BE
NSE,4737793,TVVISION-BL
NSE,3289601,TVSMOTOR-BL
NSE,4738049,TVVISION-BE
NSE,1422081,UTIUS64-RI-BE
NSE,933377,VARDMNPOLY
NSE,3275009,SUNFLAG-BL
NSE,1221377,TCIFINANCE
NSE,2318593,TEIL-BE
NSE,5588993,TEXRAIL-BE
NSE,1353473,THERMAX-BE
NSE,6594561,VIKASECO-BE
NSE,7388929,PROZONINTU-BE
NSE,1218305,RCF-BE
NSE,1412353,VEDL-BE
NSE,3065601,RML
NSE,3516161,GLOBALVECT
NSE,1736449,ICICI0899-NC
NSE,2324225,WALCHANNAG-BE
NSE,2576897,ICICI0401-NC
NSE,2712321,ICICI1201-NA
NSE,3164161,EXCELCROP-BL
NSE,4574465,JSWENERGY
NSE,1275137,KESORAMIND-BE
NSE,4316929,LPDC
NSE,2913281,MAHABANK-BE
NSE,1084161,WENDT
NSE,3300353,WHEELS-BL
NSE,4847873,RAINBOWPAP
NSE,2204929,RAMAVISION-BE
NSE,6520833,PAISALO-BE
NSE,6520577,PAISALO-BL
NSE,6519809,PAISALO
NSE,1140737,FORTISFIN
NSE,508673,IRFC-NB
NSE,2398209,REMSONSIND-BE
NSE,2561537,ROSSELL-BE
NSE,2472961,SARASIND-BE
NSE,1104897,SHAMKNFAB
NSE,3264513,SHREECEM-BL
NSE,4715521,SHRIASTER-BZ
NSE,3266305,SICAL-BL
NSE,2892289,SIL-BE
NSE,2329089,SREIBNPNCD-N8
NSE,4994561,SREIBNPNCD-NK
NSE,1644801,SUMANMOTEL-BE
NSE,2993153,SUPRAJIT-BE
NSE,3077377,SUZLON-BE
NSE,5245697,WIPL-BE
NSE,3107329,REGENCERAM-BL
NSE,258313,CPSE INDEX
NSE,258057,LIX 15
NSE,263177,NIFTY SERV SECTOR
NSE,3068417,SASKEN-BE
NSE,3912449,KNRCON
NSE,668161,PEARLPOLY
NSE,2286337,SUPERSPIN-BE
NSE,1696001,SUPPETRO-BE
NSE,3557889,SATHAISPAT-BL
NSE,5252097,SIKKO-SM
NSE,4370689,UJJIVAN-BE
NSE,1321729,BPL-BE
NSE,705281,PSL
NSE,5982721,SHILPI-BL
NSE,3196673,CYIENT-BL
NSE,3852033,DELTACORP-BL
NSE,4537601,DEN-BL
NSE,3707905,GOKULAGRO-BE
NSE,3721217,GOLDSHARE-BL
NSE,1753089,GREENLAM
NSE,4286721,RBL
NSE,5374209,SRIRAM-SM
NSE,1974273,GRINWELNOR-BE
NSE,4648193,HATHWAY-BL
NSE,7712769,IBULHSGFIN-BL
NSE,4769793,IBULHSGFIN-NC
NSE,3939073,IBVENTURES-BL
NSE,2743041,ICICI0402-NB
NSE,3858433,RELIGARE-BE
NSE,4766209,IBULHSGFIN-N5
NSE,462081,KABRAEXTRU
NSE,2510081,KANORICHEM-BE
NSE,3878145,JYOTHYLAB-BL
NSE,3208961,KANORICHEM-BL
NSE,3219713,MAHSEAMLES-BL
NSE,3569665,PRAENG-BL
NSE,5642241,SUDAR-BL
NSE,1451265,KOTAKBANK-BE
NSE,3498753,KSERASERA-BE
NSE,3498497,KSERASERA-BL
NSE,4757761,KIRLOSBROS-BL
NSE,1964801,KOHINOOR-BE
NSE,4308737,KOKUYOCMLN-BE
NSE,4308481,KOKUYOCMLN-BL
NSE,6282497,MAITHANALL-BL
NSE,3462401,NECCLTD-BL
NSE,3945729,NESCO-BE
NSE,4455425,NHPC-BE
NSE,5117697,PONDYOXIDE
NSE,3247361,PREMIER-BL
NSE,5377281,PSB-BE
NSE,3248897,PTC-BL
NSE,4279553,UBL-BE
NSE,2141953,RADICOKHAI-BE
NSE,1605889,PVP-BE
NSE,3924481,QGOLDHALF
NSE,2009857,RAMCOSYS
NSE,3470081,VALECHAENG
NSE,2608129,SHYAMCENT
NSE,1282817,SURYAPHARM-BZ
NSE,5143553,TASTYBITE
NSE,3150849,TATACOFFEE-BL
NSE,877057,TATAPOWER
NSE,1094401,TATAYODOGA
NSE,6922497,TBZ-BE
NSE,4737025,TVVISION
NSE,2170625,TVSMOTOR
NSE,4900353,UMESLTD
NSE,3291649,UNITECH-BL
NSE,262665,NIFTY PSE
NSE,4937217,USHERAGRO-BL
NSE,2915073,UMANGDAIRY
NSE,1887745,STAR
NSE,6422017,TREEHOUSE-BE
NSE,6420993,TREEHOUSE
NSE,4604673,TRF
NSE,4307201,VINYLINDIA-BL
NSE,964865,WIDIA
NSE,815617,SKFINDIA
NSE,3821313,SRIPIPES
NSE,7731969,SRTRANSFIN-NW
NSE,5396481,SURANASOL-BL
NSE,1191169,CRISIL-BE
NSE,7963393,DBSTOCKBRO
