exchange,instrument_token,tradingsymbol
NSE,3130881,SANOFI-BL
NSE,3689729,PAGEIND
NSE,7894529,PILITA-BE
NSE,2641665,PKTEA-BL
NSE,3835137,POWERGRID-BE
NSE,3357697,QUICKHEAL
NSE,2394881,QUINTEGRA
NSE,4449793,RAJOIL
NSE,8002049,NDL
NSE,3944705,NESCO
NSE,3250689,RAJSREESUG-BL
NSE,900353,SREINFRA-NS
NSE,4990977,SREIBNPNCD-ND
NSE,3444225,RATNAMANI-BE
NSE,1811713,SIGNET-BL
NSE,1949697,SKUMARSYNF-BZ
NSE,5518081,SMSLIFE-BE
NSE,201217,TOUCHWOOD-SM
NSE,6550529,TRITURBINE-BE
NSE,260873,NIFTY MIDCAP 50
NSE,4951809,RHFL-N6
NSE,3818753,TAKE
NSE,3253505,RCF-BL
NSE,890369,THIRUSUGAR
NSE,3117057,SBT-BL
NSE,3657729,MURLIIND
NSE,343809,SDBL-BL
NSE,3582209,SHREEASHTA
NSE,3109377,SHREERAMA-BL
NSE,1241089,SNOWMAN-BL
NSE,4994049,SREIBNPNCD-NJ
NSE,3431425,SUNTV
NSE,4663809,TEXMOPIPES-BE
NSE,3609345,SIYSIL-BL
NSE,4834817,SJVN-BL
NSE,2005505,CENTAKCHEM-BE
NSE,6487809,VASWANI-BL
NSE,276225,FULFORD
NSE,4576001,GODREJPROP
NSE,4765185,IBULHSGFIN-N3
NSE,3007489,IRFC-NH
NSE,3096577,JENSONICOL-BL
NSE,4786945,JETKNIT-SM
NSE,1716737,JKIND-BE
NSE,931073,JUBILANT
NSE,4666881,MANINFRA-BE
NSE,4543745,MAXINDIA-BE
NSE,1698817,TATAINVEST-BE
NSE,3635457,TIMKEN-BL
NSE,5472257,UNIVASTU-SM
NSE,3502849,MBECL
NSE,4706561,SGBFEB24-GB
NSE,3676161,MINDTREE-BE
NSE,2372353,MMNL-IT
NSE,1754369,MIRCELECTR-BE
NSE,3543553,MMFL-BL
NSE,4596993,MMTC
NSE,2213633,MODILUFT-BE
NSE,3323393,MODIRUBBER-BL
NSE,4512001,MOLDTECH
NSE,1722369,MOLDTKPAC-BE
NSE,575233,MONNETISPA
NSE,578305,MOREPENLAB
NSE,1665793,MOSERBAER-BE
NSE,8040705,MTEDUCARE
NSE,2256129,NATCOPHARM-BE
NSE,2233089,NCC-BE
NSE,4702977,NDGL
NSE,495105,NETVISTAIT
NSE,3565825,NFL-BE
NSE,3072769,NHAI-NA
NSE,3711233,NHAI-NB
NSE,4455169,NHPC-BL
NSE,8059649,NHPC-N2
NSE,8060417,NHPC-N5
NSE,3536385,NICCO-BE
NSE,2369537,NILAINFRA-BL
NSE,4816129,NITESHEST-BE
NSE,2870785,NOIDATOLL-BE
NSE,2414337,NORBTEAEXP-BE
NSE,1933569,NRBBEARING
NSE,2497281,NRC-BE
NSE,1445121,MARICO-BE
NSE,2748673,NTPC-N8
NSE,1837825,SYNDIBANK
NSE,1888513,NTPC-N7
NSE,5182721,OBEROIRLTY-BL
NSE,3131137,OCCL
NSE,3726081,PHOENIXLTD-BL
NSE,7894785,PILITA-BL
NSE,7893761,PILITA
NSE,4430337,PINCON-BE
NSE,6191873,PIIND-BL
NSE,6191105,PIIND
NSE,2931201,PILANIINVS-BE
NSE,681985,PIDILITIND
NSE,3447297,PIONEEREMB-BE
NSE,3446529,PIONEEREMB
NSE,4273921,PIRPHYTO
NSE,2131969,PITTIEFIN-BE
NSE,3618305,PITTILAM
NSE,2641409,PKTEA-BE
NSE,2929921,PILANIINVS
NSE,4430081,PINCON-BL
NSE,4861953,PIONDIST
NSE,1793793,POLARIS
NSE,3245825,POLYPLEX-BL
NSE,3564289,PLASTIBLEN-BL
NSE,3563521,PLASTIBLEN
NSE,687873,POLYPLEX
NSE,5118465,PONDYOXIDE-BL
NSE,1795073,POLARIS-BE
NSE,2871041,PONNIERODE-BE
NSE,2237953,PNBGILTS-BE
NSE,3245057,PNBGILTS-BL
NSE,4843009,PNBHOUSING-BE
NSE,2392577,PNC-BE
NSE,4873985,PODDARMENT-BL
NSE,693249,PRAKASH
NSE,1955841,PRASGLOFIN-BE
NSE,3230721,PRECAM-BE
NSE,1506305,PRECOT-BE
NSE,3106561,PRAKASH-BL
NSE,3246593,PRECOT-BL
NSE,3810305,SELMCL
NSE,692481,PRAJIND
NSE,5018369,PRAKASHSTL-BE
NSE,2381825,PRECWIRE-BE
NSE,5198081,PRESTIGE-BL
NSE,701953,PRIYADCEM
NSE,3014913,3IINFOTECH-BE
NSE,3371521,EDUCOMP-BE
NSE,3492609,ELECON
NSE,3678721,IDEA-BE
NSE,2393089,IOB
NSE,152833,IRFC-N9
NSE,1728769,IONEXCHANG-BE
NSE,3680513,PUNJABCHEM-BL
NSE,8005889,PROVOGE
NSE,7388673,PROZONINTU-BL
NSE,5345537,PSPPROJECT-BE
NSE,3609857,PTL
NSE,1967873,PUNALKALI-BE
NSE,2157825,PUNANDLAMP-BE
NSE,2034945,PUNJABCHEM-BE
NSE,4533249,QUESS-BE
NSE,4532993,QUESS-BL
NSE,4612353,STAMPEDE-BL
NSE,3874305,IRFC-NN
NSE,2502401,JAGAJITIND-BE
NSE,3001089,JSWSTEEL
NSE,3408129,KEI-BE
NSE,4542721,MAXINDIA
NSE,6629633,MINDACORP
NSE,709889,PUNJCOMMU
NSE,3365121,PUNJLLOYD-BE
NSE,3365377,PUNJLLOYD-BL
NSE,3364353,PUNJLLOYD
NSE,3820801,PURVA-BL
NSE,3365633,PVR
NSE,4305921,QNIFTY-BL
NSE,6922241,TBZ-BL
NSE,3804161,OMNITECH
NSE,1262337,PRAJIND-BE
NSE,4484353,SETCO-BL
NSE,2609153,SHYAMCENT-BE
NSE,7381249,SIMPLEXCAS-BL
NSE,3282945,TCIFINANCE-BL
NSE,4512769,MOLDTECH-BL
NSE,3262465,VEDL-BL
NSE,3247873,PRIMESECU-BL
NSE,2251777,PRIYADCEM-BE
NSE,523009,RAMCOCEM
NSE,2573569,RAMGOPOLY-BE
NSE,3433985,RSYSTEMS
NSE,755457,S&SPOWER
NSE,3388417,SADBHAV
NSE,1105921,SHAWGELTIN
NSE,1075457,SOMATEX
NSE,3348225,SORILINFRA-BE
NSE,3275265,SUNPHARMA-BL
NSE,885761,TELEPHNCAB
NSE,3946753,TWL-BL
NSE,2216705,VETO-BL
NSE,4330241,WABCOINDIA
NSE,4941313,ITDC-BL
NSE,2991617,LALPATHLAB-BE
NSE,5478913,GANGESSECU-BL
NSE,5478145,GANGESSECU
NSE,1884673,SETFNIFBK-BL
NSE,1038081,PANACEABIO
NSE,4476417,SQSBFSI
NSE,3240705,PATELENG-BL
NSE,678913,PHILIPS
NSE,3725313,PHOENIXLTD
NSE,1558529,PIDILITIND-BE
NSE,3244545,PIDILITIND-BL
NSE,3616257,PNB-BE
NSE,3244801,PNB-BL
NSE,3834113,POWERGRID
NSE,2727425,PRABHAT-BE
NSE,2727169,PRABHAT-BL
NSE,4700417,PRADIP-BE
NSE,3569921,PRAENG-BE
NSE,2995713,PATELENG-BE
NSE,978945,ZODJRDMKJ
NSE,3285761,TITAN-BL
NSE,2426625,VIJAYABANK
NSE,4514561,ZYDUSWELL
NSE,800257,SHREYANIND
NSE,4719361,BIGBLOC-BE
NSE,5523201,BILENERGY-BE
NSE,1630209,SICAL
NSE,5160961,CANTABIL
NSE,3666945,CANDC
NSE,4681217,DHFL-N4
NSE,4684289,DHFL-N9
NSE,3941633,SITASHREE-BL
NSE,1689345,SONATSOFTW-BE
NSE,2634753,CAPCO-IT
NSE,5178113,CEBBCO-BL
NSE,3269377,SONATSOFTW-BL
NSE,2518785,GMBREW-BE
NSE,3239681,FEL-BL
NSE,2692097,FEL
NSE,3464193,GMRINFRA-BE
NSE,830977,SPECIALSTL
NSE,4271617,SPICEMOBI-BL
NSE,4990465,SREIBNPNCD-NC
NSE,5195777,GAL
NSE,3004161,GDL
NSE,1540353,EVERESTIND-BE
NSE,5692673,DHUNINV-BE
NSE,1337089,GMDCLTD-BE
NSE,3744513,HILTON
NSE,300545,GNFC
NSE,420353,ISIBARS
NSE,5319169,JAMNAAUTO
NSE,2161665,JAYBARMARU-BE
NSE,2998273,JETAIRWAYS-BE
NSE,3202817,JETAIRWAYS-BL
NSE,1858817,BEPL-BE
NSE,3426561,KKCL-BE
NSE,3185921,HINDOILEXP-BL
NSE,1855489,LYKALABS-BE
NSE,3576065,HBLPOWER-BL
NSE,3697921,NAHARPOLY
NSE,3779329,NELCAST-BL
NSE,3698945,NAHARPOLY-BL
NSE,4337921,NEULANDLAB-BL
NSE,3033345,NH-BE
NSE,7612417,NIBL-BL
NSE,7615233,OPAL-SM
NSE,2819073,OPTOCIRCUI
NSE,3717121,ORBITCORP-BE
NSE,3271169,SRTRANSFIN-BL
NSE,4662273,ORIENTLTD-BL
NSE,1849345,ORTEL
NSE,3612417,NETWORK18
NSE,1850881,ORTEL-BE
NSE,1016833,PARASPETRO
NSE,3867393,NOESISIND-BE
NSE,4385281,PARAGMILK
NSE,1099265,BDR-IT
NSE,3136769,BEML-BL
NSE,101121,BEML
NSE,2488321,ICICI0101-N9
NSE,1475841,PARKEDAVIS-BE
NSE,3896065,PATINTLOG
NSE,3142657,BRITANNIA-BL
NSE,1381633,CADBURY-BE
NSE,145409,BURRWELCOM
NSE,1980673,CABOTINDIA-BE
NSE,6938625,CHROMATIC-BL
NSE,5418753,CMAHENDRA-BE
NSE,1351169,CHOLAFIN-BE
NSE,3502593,DOLPHINOFF-BE
NSE,3768833,DECOLIGHT
NSE,4671489,DEEPIND-BE
NSE,4537857,DEN-BE
NSE,3156225,DHFL-BL
NSE,215553,DHFL
NSE,4678145,DHFL-N2
NSE,4687361,DHFL-NF
NSE,5107969,DIAPOWER-BE
NSE,5098753,DMART-BE
NSE,227841,DUNCANSIND
NSE,3158529,DWARKESH-BL
NSE,3942145,EIHAHOTELS
NSE,235265,EIHOTEL
NSE,4935937,EMAMIINFRA-BE
NSE,4644353,EMMBI
NSE,3928321,SHALPAINTS-BL
NSE,5981953,SHILPI
NSE,801025,SHREYAS
NSE,2144257,SMLISUZU-BE
NSE,834049,SPICFINE
NSE,6211841,ESTER
NSE,1492737,SINTEX
NSE,2416385,SKIPPER-BL
NSE,867073,SMLISUZU
NSE,4669953,SMPL-BE
NSE,6568705,SEZAL-BL
NSE,3261185,SOTL-BL
NSE,833281,SPICELEC
NSE,2164737,TEXTOOL-BE
NSE,1771009,TITAGRSTEL-BE
NSE,7690497,FCONSUMER-BE
NSE,6281217,FILATEX-BE
NSE,1481473,FINCABLES-BE
NSE,1379073,FINPIPE-BE
NSE,266497,FINPIPE
NSE,274689,FOSECOIND
NSE,4705793,FRETAIL-BE
NSE,4793089,SREINFRA-Y1
NSE,3732993,SRHHYPOLTD
NSE,720385,FROGCELL-IT
NSE,3540481,SOBHA-BE
NSE,3396865,GITANJALI-BE
NSE,931841,VANADYCHEM
NSE,3300097,WELSPUNIND-BL
NSE,3583489,SITINET
NSE,2417153,SKIPPER-BE
NSE,3539457,SOBHA
NSE,3745025,HILTON-BL
NSE,3279873,TATAELXSI-BL
NSE,5051137,GPPL
NSE,3433729,GPIL-BL
NSE,3766273,HGS
NSE,4597761,MMTC-BL
NSE,1534977,TFCILTD-BE
NSE,3229697,HEIDELBERG-BL
NSE,3767297,HGS-BL
NSE,4946433,HISARMETAL
NSE,4919041,HMVL-BE
NSE,1318401,TNPL-BE
NSE,3556865,HIRECT-BE
NSE,7997441,HUDCO-N2
NSE,5102081,HUDCO-N9
NSE,5111809,HUDCO-ND
NSE,4769281,IBULHSGFIN-NB
NSE,4406529,UNITEDPOLY-SM
NSE,3717889,ICRA
NSE,928001,USHAINDIA
NSE,6594305,VIKASECO-BL
NSE,3061761,IDFC-BE
NSE,775681,SBIHOMEFIN
NSE,3800833,VIPCLOTHNG-BE
NSE,5225729,IOLCP
NSE,42497,IPAPPM
NSE,5330177,IRBINVIT-BL
NSE,151297,IRFC-N8
NSE,6204673,JVLAGRO
NSE,2289921,KAKATCEM-BE
NSE,3359489,KERNEX-BL
NSE,672001,PENNARALUM
NSE,4702465,PERSISTENT-BE
NSE,5360641,KIRLOSENG-BE
NSE,2404865,PNCINFRA-BE
NSE,2940929,KRIDHANINF-BE
NSE,6988033,RTNINFRA
NSE,3741441,SIMBHALS-BL
NSE,3282177,TATAGLOBAL-BL
NSE,4313345,LGBFORGE-BE
NSE,4475905,UVSL
NSE,3613441,NETWORK18-BL
NSE,4569601,EHFLNCD-N1
NSE,625153,NOCIL
NSE,254209,EVERESTIND
NSE,3879681,MADHAV-BE
NSE,638209,ORIENTHOT
NSE,3558145,SATHAISPAT-BE
NSE,6249473,DHANUKA-BL
NSE,3353601,EMCO-BL
NSE,4567809,GILLANDERS-BE
NSE,3896833,PATINTLOG-BL
NSE,3815169,VICEROY
NSE,5154305,RAMKY
NSE,2187265,SBIHOMEFIN-BE
NSE,1402369,MERCK-BE
NSE,240641,MERCK
NSE,4291329,METKORE
NSE,3624193,MINDAIND-BL
NSE,1152769,MPHASIS
NSE,3101185,MUKTAARTS-BL
NSE,3459073,MUNJALAU-BE
NSE,6405377,BODALCHEM-BE
NSE,590593,MUNJALSHOW
NSE,2667009,MUTHOOTCAP-BL
NSE,3825153,NAGREEKCAP
NSE,3764737,NAGREEKEXP-BL
NSE,3385857,GVKPIL
NSE,4366337,HARITASEAT-BE
NSE,3763713,NAGREEKEXP
NSE,3355137,NAHARINDUS
NSE,1122561,NAMTECHELE
NSE,3263233,SHANTIGEAR-BL
NSE,622849,NIRLON
NSE,3584513,SITINET-BL
NSE,8057601,ORBTEXP
NSE,4993537,SREIBNPNCD-NI
NSE,2802689,STCINDIA
NSE,3639041,POCHIRAJU-BL
NSE,3081729,PRITHVI
NSE,2906881,PTC
NSE,3375873,RCOM
NSE,7931393,RECLTD-N5
NSE,3906817,RPOWER-BE
NSE,3855361,SABTN-BE
NSE,3256833,RUBYMILLS-BL
NSE,3388929,SADBHAV-BL
NSE,6921473,TBZ
NSE,3535617,NICCO
NSE,3925761,NMDC-BL
NSE,2726401,PRABHAT
NSE,3848193,PSUBNKBEES
NSE,728065,RANEHOLDIN
NSE,8056577,LYPSAGEMS-BL
NSE,592129,MURUDCERA
NSE,3544577,SPENTEX-BE
NSE,4993025,SREIBNPNCD-NH
NSE,902913,SREINFRA-NU
NSE,864001,SURYAROSNI
NSE,3290113,UCALFUEL-BL
NSE,4656641,TANFACIND
NSE,3281921,TATASTEEL-BL
NSE,419073,TCFSL-N6
NSE,4548609,REFEX-BE
NSE,2622209,SYNGENE
NSE,2708481,TCI
NSE,7940353,THOMASCOTT
NSE,5588737,TEXRAIL-BL
NSE,6225665,TIMBOR-BL
NSE,185345,TATACOFFEE
NSE,6523393,TIJARIA
NSE,898305,TNPETRO
NSE,2530305,TNTELE-BE
NSE,901377,TORRENGUJ
NSE,3287809,TRENT-BL
NSE,3524097,PARAL
NSE,86273,SREINFRA-NK
NSE,4791553,SREINFRA-NX
NSE,5172737,URJA-BL
NSE,3521793,SHIVAMAUTO-BE
NSE,1934081,SIIL-SM
NSE,6400513,SORILHOLD-BL
NSE,3269889,SPIC-BL
NSE,3272705,STERLINBIO-BL
NSE,848641,STINDIA
NSE,4516865,SUNTECK-BL
NSE,887297,TFCILTD
NSE,3781377,TARMAT
NSE,6445569,TDPOWERSYS
NSE,3255297,TEAMLEASE
NSE,4320769,SICAGEN-BL
NSE,3859969,VARUN
NSE,3933441,VGUARD-BL
NSE,770817,WONDERLA-BL
NSE,972545,WSTCSTPAPR
NSE,3843073,KDDL-BE
NSE,3568897,PRAENG
NSE,3376641,RCOM-BL
NSE,6602241,KANANIIND-BE
NSE,3083521,SPHEREGSL-BL
NSE,8006913,PROVOGE-BL
NSE,4305665,QNIFTY
NSE,2330113,SREIBNPNCD-N9
NSE,4794881,MASKINVEST-BL
NSE,5500929,STEL-BE
NSE,857857,SUNPHARMA
NSE,2702593,NAVKARCORP
NSE,5278721,SUPERHOUSE-BE
NSE,6492673,PGEL-BE
NSE,3438337,PLETHICO
NSE,2402561,PNCINFRA
NSE,837889,SRF
NSE,729601,RASLAMIPAK
NSE,3250433,RAJESHEXPO-BL
NSE,7933441,RECLTD-N9
NSE,3366657,PVR-BE
NSE,5155329,RAMKY-BE
NSE,3255041,REVATHI-BL
NSE,4950785,RHFL-N4
NSE,5370881,SGBMAY25-GB
NSE,2214401,BLUECHIP-BE
NSE,5369089,VSCL-SM
NSE,2156289,RUCHINFRA-BE
NSE,5143041,CAREERP-BE
NSE,3604225,DIVISLAB-BE
NSE,3602177,SAGCEM-BL
NSE,1325057,SAIL-BE
NSE,3578369,TANLA-BL
NSE,1258241,EICHERMOT-BE
NSE,2979073,SALSTEEL-BE
NSE,3768065,GLORY-BL
NSE,2592001,SBT-BE
NSE,1687041,SKUMARSYNF-BE
NSE,3155969,DENABANK-BL
NSE,2500097,DHARSUGAR-BE
NSE,4959233,SPCENET
NSE,4715777,SPECTACLE-BZ
NSE,4989953,SREIBNPNCD-NB
NSE,3948289,DPSCLTD-BE
NSE,4804865,DRL-SM
NSE,3863297,EDL-BL
NSE,4354817,EDSERV-BL
NSE,2208769,SUASHDIMON-BE
NSE,6210305,DQE
NSE,1594113,DTIL
NSE,3474177,DYNAMATECH-BL
NSE,1144577,ELPROINTL
NSE,2655489,MOHOTAIND-BE
NSE,850945,SUBROS
NSE,2246401,EASTSUGIND-BE
NSE,3314689,EASTSUGIND-BL
NSE,2049793,ELDERPHARM-BE
NSE,3948033,DPSCLTD-BL
NSE,239873,ELGIEQUIP
NSE,3435777,EMKAY
NSE,3249921,MOHOTAIND-BL
NSE,1029889,MOHOTAIND
NSE,208897,SHIVATEX-BL
NSE,3117313,SUDARSCHEM-BL
NSE,3689217,SUPREMETEX-BL
NSE,952577,TATACOMM
NSE,210945,ONEPOINT-SM
NSE,208129,SHIVATEX-BE
NSE,246017,ESCORTSFIN
NSE,6506753,PRAKASHCON-BL
NSE,205825,SHIVATEX
NSE,216833,SMVD-SM
NSE,2396673,SUPERFORGE-BE
NSE,3841537,SUPREMEINF-BE
NSE,3277057,SURYALAXMI-BL
NSE,5381377,FMNL-BE
NSE,3175425,GOKEX-BL
NSE,3277569,SURYAROSNI-BL
NSE,3176961,GREAVESCOT-BL
NSE,316161,GREAVESCOT
NSE,3278337,SUZLON-BL
NSE,1125633,GULFOILLUB-BL
NSE,2965505,GULFPETRO-BE
NSE,4841985,GUJNREDVR-BE
NSE,4841729,GUJNREDVR-BL
NSE,3177985,GSKCONS-BL
NSE,380161,IFBIND
NSE,870913,TANFAC
NSE,3280897,TATAMETALI-BL
NSE,3819521,TAKE-BE
NSE,876289,TATAMETALI
NSE,884737,TATAMOTORS
NSE,1266433,TATASTEEL-BE
NSE,3465729,TECHM
NSE,5244929,TECHNO-BL
NSE,7383553,THEJO-SM
NSE,2236417,PNBGILTS
NSE,3283201,TCS-BL
NSE,3284225,THERMAX-BL
NSE,6225921,TIMBOR-BE
NSE,4918785,HMVL-BL
NSE,1029121,HOTELRUGBY
NSE,4465153,OIL-BE
NSE,1634049,THIRUSUGAR-BE
NSE,3588865,TIDEWATER
NSE,3284993,TIL-BL
NSE,2896897,IDBI0104-N5
NSE,5017345,PRAKASHSTL
NSE,3400449,PRATIBHA-BE
NSE,1541889,PSIDATASYS-BE
NSE,112897,IFGLEXPOR-BL
NSE,110593,KHADIM-BL
NSE,108801,KHADIM
NSE,110849,KHADIM-BE
NSE,111617,IFGLEXPOR
NSE,5328385,L&TINFRA-N4
NSE,5180417,LAXMICOT-SM
NSE,2162689,LAXMIMACH-BE
NSE,3214081,LAXMIMACH-BL
NSE,3099137,LCCINFOTEC-BL
NSE,2173697,HBSTOCK-BE
NSE,3481345,LAKPRE-BL
NSE,3630593,LAKSHMIEFL-BL
NSE,3629825,LAKSHMIEFL
NSE,504321,LAKSHVILAS
NSE,1641473,LAMBODHARA-BE
NSE,4926209,LAURUSLABS-BL
NSE,1927425,LCCINFOTEC
NSE,3062785,REVATHI-BE
NSE,2302465,LEEL-BE
NSE,4923905,LAURUSLABS
NSE,3873025,RJL
NSE,5363201,RKDL
NSE,3256577,ROLTA-BL
NSE,506625,LAXMIMACH
NSE,3215105,LEEL-BL
NSE,1213441,LEEL
NSE,2025729,LFIC-BL
NSE,1780481,LINCPEN-BE
NSE,5202689,RESPONIND
NSE,2640129,MAJESCO-BL
NSE,3532033,MANALIPETC-BE
NSE,748545,ROSSELL
NSE,6586369,RUPA-BE
NSE,3331329,S&SPOWER-BL
NSE,4736001,SABEVENTS-BL
NSE,2673153,LUPIN-BE
NSE,519169,LYKALABS
NSE,3321601,MAFATLAFIN-BL
NSE,5477377,MAGADSUGAR-BE
NSE,2919169,MAGMA
NSE,3321857,MAHAPEXLTD-BL
NSE,3219457,MAHSCOOTER-BL
NSE,3531777,MANALIPETC
NSE,4880641,MANAPPURAM-BE
NSE,4879617,MANAPPURAM
NSE,7402753,ROSSELLIND-BE
NSE,6585345,RUPA
NSE,2235649,S&SPOWER-BE
NSE,3389441,SADBHAV-BE
NSE,3630849,LAKSHMIEFL-BE
NSE,821761,GSKCONS
NSE,3259137,SALSTEEL-BL
NSE,2516225,SAMBHAAV-BE
NSE,2121729,MAHSEAMLES-BE
NSE,3043073,MANINDS-BE
NSE,2978305,SALSTEEL
NSE,1056513,SAMBHAAV
NSE,186113,CONTNLCONS
NSE,2260481,FAIRCHEM-BE
NSE,3982081,HCG
NSE,1461249,MANAPPURAM-N8
NSE,1453569,MANAPPURAM-NB
NSE,3220993,MANGTIMBER-BL
NSE,632833,OILCOUNTUB
NSE,1457921,MANAPPURAM-NK
NSE,1462529,MANAPPURAM-NJ
NSE,539137,MANGLMCEM
NSE,2562817,MANPASAND-BL
NSE,3475201,MANUGRAPH-BE
NSE,1802241,MARALOVER-BE
NSE,4776705,MARATHON
NSE,3222017,MARKSANS-BL
NSE,547585,MATHPLATT
NSE,4357633,MAWANASUG
NSE,4829697,MAZDA
NSE,3503873,MBECL-BE
NSE,3503617,MBECL-BL
NSE,3172097,GICHSGFIN-BL
NSE,3286273,TNPETRO-BL
NSE,3754241,MCDHOLDING-BE
NSE,1684481,MASTEK-BE
NSE,3222529,MASTEK-BL
NSE,543745,MASTEK
NSE,2471425,MATHPLATT-BE
NSE,7400705,MAYURUNIQ-BL
NSE,7399937,MAYURUNIQ
NSE,4830465,MAZDA-BL
NSE,4616449,MBLINFRA-BE
NSE,3754497,MCDHOLDING-BL
NSE,2675969,SATIN
NSE,2591745,SBBJ-BE
NSE,3708161,THEMISMED
NSE,2674689,MCDOWELL-N-BE
NSE,2674433,MCDOWELL-N
NSE,889601,THERMAX
NSE,3057409,MCLEODRUSS
NSE,1939201,MELSTAR-BE
NSE,1943041,MELSTAR
NSE,1784577,MENONBE-BE
NSE,3120641,METALFORGE-BL
NSE,13313,METALFORGE
NSE,4912129,SFL-BE
NSE,6547713,SHAKTIPUMP-BL
NSE,2473729,SHALMPAINT-BE
NSE,7983361,MCX-BE
NSE,1829889,MEDICOTECH-BE
NSE,3788033,MEGASOFT-BE
NSE,6587649,SHARONBIO-BL
NSE,3918849,SHRIRAMEPC
NSE,2287617,AUTOLEC-BE
NSE,3223041,MFSL-BL
NSE,3084033,ASHIMASYN-BL
NSE,2416641,AXISCADES-BE
NSE,1430529,MFSL-BE
NSE,548353,MFSL
NSE,4489473,MGL-BL
NSE,3488513,MICROTECH-BE
NSE,3521537,SHIVAMAUTO
NSE,3024129,SHOPERSTOP
NSE,4489729,MGL-BE
NSE,1033473,AUSOMENT
NSE,787201,SHAMKNSPIN
NSE,6345217,BGLOBAL-BL
NSE,122881,BIRLACORPN
NSE,4531713,MIDCAPIWIN
NSE,6630401,MINDACORP-BL
NSE,3624449,MINDAIND-BE
NSE,3623425,MINDAIND
NSE,5250305,MKPL-SM
NSE,3544065,MMFL
NSE,3109633,SHREYAS-BL
NSE,7533313,MOHITIND-BE
NSE,2654721,MODTHREAD-BE
NSE,1722113,MOLDTKPAC-BL
NSE,3225857,MONNETISPA-BL
NSE,3226113,MONSANTO-BL
NSE,1857793,MONSANTO
NSE,5005569,SHRENUJ-BZ
NSE,3266817,SIL-BL
NSE,3741697,SIMBHALS-BE
NSE,1830401,BERGEPAINT-BE
NSE,3730177,BFUTILITIE-BE
NSE,1123585,BIRLAPOWER-BZ
NSE,2685441,BLUEBLENDS-BE
NSE,1198337,BLUECHIP
NSE,3095041,INDIANHUME-BL
NSE,112129,BHEL
NSE,3761921,BIRLAPOWER-BL
NSE,3226881,MOTHERSUMI-BL
NSE,1865985,INDIANORG-BE
NSE,7393537,MORARJEE-BL
NSE,579841,MOSERBAER
NSE,1076225,MOTHERSUMI
NSE,4835073,SJVN-BE
NSE,2656513,SOLPHARMA-BE
NSE,2323201,SREIBNPNCD-N4
NSE,6474241,SRSLTD-BE
NSE,2189313,BLUECOAST-BE
NSE,2135297,CALSOFT
NSE,1654017,STARPAPER-BE
NSE,5642497,SUDAR-BE
NSE,2321153,SULZER-BE
NSE,595969,CPSEETF
NSE,3271937,STARPAPER-BL
NSE,851713,SUDARSCHEM
NSE,2521089,SUNDRMBRAK-BE
NSE,4474113,CONTROLPR
NSE,3746305,COREEDUTEC
NSE,2031873,TATASPONGE-BE
NSE,3513601,DCBBANK
NSE,3827457,MOTILALOFS-BE
NSE,3339777,MPHASIS-BL
NSE,1887233,SUNFLAG-BE
NSE,4731649,ISFT-BE
NSE,5215745,COALINDIA
NSE,5144577,TASTYBITE-BE
NSE,4921089,TCIEXP
NSE,2953985,TCS-BE
NSE,6446337,TDPOWERSYS-BL
NSE,4677633,DHFL-N1
NSE,2024705,DELTAMAGNT-BE
NSE,1095425,DENORA
NSE,4684801,DHFL-NA
NSE,4688385,DHFL-NH
NSE,4569857,DLINKINDIA
NSE,1249793,EASUNREYRL
NSE,1685249,TATAELXSI-BE
NSE,3578881,TANLA-BE
NSE,7440897,TARAJEWELS-BE
NSE,1803777,MRF-BE
NSE,3501569,DOLPHINOFF
NSE,1313281,MRO-IT
NSE,3377153,ENIL
NSE,3095553,ENTEGRA-BL
NSE,6947841,EON-BE
NSE,6947073,EON
NSE,4921857,TCIEXP-BL
NSE,6449409,TECHIN-BL
NSE,5163521,TECPRO-BE
NSE,3284481,THIRUSUGAR-BL
NSE,891137,THOMASCOOK
NSE,1616897,TIRUMALCHM-BE
NSE,894977,TIRUMALCHM
NSE,258049,FACT
NSE,7941377,THOMASCOTT-BE
NSE,3165185,FCSSOFT-BL
NSE,3615233,MPSLTD-BE
NSE,5578753,MPTODAY-SM
NSE,2304513,MRO-TEK-BE
NSE,3227393,MRO-TEK-BL
NSE,1311745,MRPL-BE
NSE,3666177,TFL-BL
NSE,2677505,TODAYS-BE
NSE,2303489,MRO-TEK
NSE,4917505,TMRVL-BE
NSE,2201857,GANGOTEX-BE
NSE,1892097,GARDENSILK-BE
NSE,3169793,GDL-BL
NSE,1497857,KOTAKBKETF
NSE,2001153,GAMMONIND-BE
NSE,3614465,GANDHITUBE-BL
NSE,3497729,KSERASERA
NSE,4305153,KSK-BE
NSE,2013697,GEPIL-BE
NSE,3527681,GESHIP-BL
NSE,296705,GLOBABOARD
NSE,4304129,KSK
NSE,3052033,MSPL-BE
NSE,1382913,MTNL-BE
NSE,2137089,MUKANDENGG-BE
NSE,3100929,MUKANDENGG-BL
NSE,3228673,MUKANDLTD-BL
NSE,2899201,MUKANDLTD
NSE,4605441,TRF-BL
NSE,3118593,TRIDENT-BL
NSE,3229185,MUNJALSHOW-BL
NSE,3658497,MURLIIND-BL
NSE,3421697,MURLIIND-BZ
NSE,3229441,MURUDCERA-BL
NSE,2666241,MUTHOOTCAP
NSE,2326529,GESTETNER-BE
